,326,NBQ,NBV,QAB,RCF,Z11
0,17.12,17.50,17.60,19.14,17.36,17.61
1,14.26,16.43,16.26,16.69,16.00,15.71
2,13.89,15.56,16.27,15.90,15.73,15.53
3,15.61,15.14,15.77,16.38,15.32,14.97
4,14.69,15.80,16.03,16.20,15.73,15.55
5,19.89,20.33,20.51,22.01,20.53,19.89
6,21.34,22.00,21.80,22.72,21.57,21.55
7,22.67,25.65,25.49,24.19,23.69,25.68
8,24.82,27.98,28.47,26.74,26.85,28.40
9,26.54,29.38,30.17,28.60,28.40,30.84
10,30.16,31.75,32.24,31.49,30.35,33.97
11,30.17,29.76,32.86,31.63,31.16,34.12
12,30.65,32.63,35.04,32.53,33.17,35.38
13,30.93,35.18,36.89,33.70,34.23,37.07
14,33.88,36.17,36.04,35.06,34.22,37.68
15,28.37,35.29,35.98,32.29,32.75,36.46
16,27.77,33.25,32.38,31.63,31.45,35.35
17,29.07,32.19,31.36,32.29,30.93,32.48
18,27.67,29.44,28.59,30.79,28.80,29.05
19,26.70,28.38,28.19,28.74,28.15,28.04
20,23.51,25.02,25.54,25.57,25.33,25.52
21,19.61,19.78,20.93,21.47,20.81,20.82
22,22.15,22.85,23.13,23.78,23.01,23.18
23,23.64,24.90,24.93,24.96,25.04,25.11
24,20.92,22.31,22.49,24.30,23.04,23.23
25,20.46,23.45,22.53,24.35,23.04,25.70
26,22.67,24.72,22.66,23.70,22.87,26.39
27,24.13,24.85,25.06,24.13,22.68,26.43
28,24.23,25.28,24.34,26.59,24.75,26.83
29,22.97,24.32,25.41,24.95,25.08,26.12
30,22.62,24.61,25.03,25.40,24.62,25.56
31,20.32,22.18,22.95,22.68,23.01,23.59
32,21.23,22.94,24.14,24.17,24.60,25.26
33,17.26,23.01,23.35,21.46,22.64,24.01
34,15.89,18.70,18.46,19.43,17.44,21.24
35,16.47,17.14,16.15,18.37,16.16,17.88
