,DAN,K23,KH3,NBL,RCJ
0,13.39,14.19,13.14,13.21,12.09
1,10.73,11.95,10.57,10.10,9.68
2,10.05,11.83,10.06,9.31,9.18
3,9.50,10.17,9.19,8.81,8.82
4,12.26,12.55,11.40,11.03,10.94
5,14.34,15.98,14.19,13.74,14.02
6,16.28,18.99,18.12,16.45,16.56
7,18.86,21.39,22.21,19.94,19.25
8,22.54,24.19,26.35,23.41,22.16
9,24.94,26.75,28.90,26.14,25.44
10,27.96,30.47,32.21,29.33,28.59
11,27.74,30.51,33.38,29.48,29.05
12,34.64,37.36,39.10,37.27,35.57
13,30.96,33.45,35.07,32.15,31.44
14,30.01,32.28,34.81,30.46,30.17
15,29.12,29.69,32.21,29.46,28.69
16,25.72,28.75,28.53,27.97,26.55
17,23.54,26.13,26.40,25.44,25.12
18,22.92,26.15,25.87,23.47,23.72
19,22.47,25.22,25.28,22.95,22.35
20,17.86,20.64,19.17,17.24,17.34
21,13.41,15.79,12.99,12.76,13.34
22,13.76,15.78,14.82,13.44,13.27
23,14.08,17.03,15.76,14.26,13.81
24,14.05,17.36,16.57,14.20,14.16
25,12.73,15.39,15.56,12.80,12.72
26,14.81,15.95,16.67,14.67,13.81
27,12.81,13.15,14.86,11.80,11.77
28,11.82,10.10,14.94,9.26,10.04
29,14.69,10.08,16.06,9.50,10.85
30,11.44,10.63,15.56,10.15,10.52
31,13.45,13.80,18.97,12.91,13.81
32,14.10,14.06,19.94,13.82,15.34
33,13.82,13.61,18.56,13.52,13.68
34,13.73,14.05,16.94,14.02,13.41
35,13.34,14.29,15.61,13.97,12.91
